Nederlands;Gronings
Een dikke herder had een kat gekerd en gediend in de jacht.;n Dikke herder haar krekt n kat gedienen ien jagd.
De kat was uit het koekje van de boer ontsnapt en de herder zou de kat wel even meer leren.;Kat was oet t kooike van boaske ontsnapt en herder zol kat wel even mores leren.
De kat kon zichzelf net op tijd redden door in de gordijnen te klimmen.;Kat kon zuk net op tied redden deur ien gerdienen te klimmen.
Naast Gezienus zat een jongemeid ook met een kat in een ketonnen doos op het schoot.;Noast Gezienus zat n jongemaaid ook mit n kat ien n ketonnen deus op schoot.
Door het gesprek met de herder was die kat ook van streek geraakt en plasde in de doos.;Deur t gedou mit herder was dij kat ook van streek roakt en plasde ien deus.
Jullie raden het al.;Ie roaden t al.
De natte bodem viel eronder en de herder jaagde haar tweede kat ook de gordijnen in.;Natte bodem viel der onneroet en herder haar twijde kat ook gerdienen ien jagd.
Gezien hield hij de doos met knieën op de knieën goud vast, dan zat de baas van de herder vlak tegenover hem.;Gezienus hiel deus mit knien op knijen goud vaast, din boas van herder zat liek tegenover hom.
De snoep van de herder kon bijna bij de doos met de konijnen erin komen en hij rook de konijnen vanzelf.;Snoet van herder kon hoast bie deus mit knien der ien kommen en hai rook knien vanzulf.
De hond deed niets anders dan naar de douche toe te snuffelen met de oren recht in het eind en heel begeleid te kijken.;Hond dee niks aans as noar deus tou snuffeln mit oren recht ien t ìnd en hail begereg kiekend.
Gezienus docht ter aan hoe het vroeger ging toen hij nog thuis woonde die bij de ouders op het plein.;Gezienus docht ter aan hou t eertieds ging dou hai nog thoes wonen dee bie ollu op ploats.
Dus kwam het regelmatig voor dat er een dier ziek werd en deed het.;Dou kwam t regelmoateg veur dat der n daaier zaik wer en t ter tou dee.
Als het slecht was, werd er een handje bij geholpen.;As t slim was, werd der n haandje bie holpen.
Nou moest je meteen naar de dierenarts, want de dieren waren net kinder voor mensen.;Nou mos je votdoadelk noar veearts, den daaier waren net kiender veur lu.
Heel even maar hij, ondanks de herder die allemaal maar drijetjes was geworden en ook al begon te likkeboarden, bijna knieën, toen hij om zich heen keek naar al die burgers met een zieke baisk;Hail even mos e , ondanks herder dij aal mor driester wer en ook al begunde te likkeboarden, hoast kniezen, tou e om suk hìn keek noar aal dij börgerlu mit n zaik baistje,
die keken zo verdrietig.;dij zo verdraiteg keken.
De enige uitzonderingen waren kattenmeisjes die allemaal op de boas van de herder waren en zelf ook bijna blaasden van vernieldheid, toen zij de katten weer in de bos of kat had.;Ainege oetzunderns waren katteboazinnen dij hels waren op boas van herder en zulf ook hoast bloasden van verniendhaid, dou zai katten weer ien deus of kattemaand haren.
De herderboes trok hem er niet veel van aan.;Boas van herder trok hom der nait veul van aan.
Hij zei enkel maar dat de hond stoer was en niets zei.;Zee enkeld mor dat hond broaf was en niks dee.
Hij hield de hond net kort genoeg aan de lijn zodat hij net niet bij Doos van Zwartje kon komen.;Hai hiel hond net kört genog aan lien zo dat dij net nait bie deus van Swartje kommen kon.
Gelukkig was de herder het eerst aan de beurt toen de dierenarts de wachtkamer binnenkwam en heel even naar de diensten voor het raam keek.;Gelukkeg was herder t eerst aan beurt dou veearts wachtkoamer ien kwam en hail even noar gedientjes keek veur t roam.
Die hongen er iets vreemds bij.;Dij hongen der wat vrumd bie.
Toen de herder weg was begonnen te koakelen, dacht men dat het een schande was dat zoiets met lieve katten zou kunnen gebeuren, maar uiteindelijk zat hij;Dou herder vot was begonnen lu aalmoal te koakeln as dat t n schaande was dat zuks wat mit laive poeskes gebeuren kind haar, mor op t lest zat
Zien je nog steeds alleen;Gezienus nog allain mit
Het zwarte in de doos in de wachtkamer.;Swartje ien deus ien wachtkoamer.
Toen de dierenarts hem raapte en knij zag, prachte en mommelde hij wat.;Dou veearts hom raip en knien zaag, prakkezaaierde en mommelde dij wat.
Toen kreeg hij een spuit en zei dat hij het konijn een spuit zou geven, en dat als het dier andersdagen nog zou leven, hij nog zo'n spuit moest hebben.;Dou kreeg e n spuit en zee dat e t knien n spuit geven zol, en dat as t daaier aanderdoags nog leven zol, hai nog zo’n spuit hemmen mos.
Of Gezien had voor over haar, vroeg hij.;Òf Gezienus ter veur over haar, vroug e.
Als hij het konijn ook wel in slaap kon laten gaan, had hij veel hoop niet.;Aans kon e t knien ook wel iensloapen loaten, den veul hoop haar e nait.
Gedenkend aan ellende en verdrietig als hij zonde;Denkend aan ellèn en verdrait as e zunder
Het zwarte huisje zou komen, zei hij dat hij ter op wou waaien.;Swartje thoes kommen zol, zee e dat hai ter op woagen wol.
"Knie kreeg dus een spuit; ging weer in bos en huis waar interesse groot was en ook opluchting die";"Knien kreeg dus n spuit; ging weer ien deus en op hoes aan woar belangstellen groot was en ook opluchten dat"
De zwarte leefde nog en de dierenarts kon er wat aan doen.;Swartje nog leven dee en veearts der wat aan doun kon.
Gezien zei hij dat hij de volgende dag weer een spuit moest voor opnieuw.;Gezienus zee dat e volgende dag weer hìn mos veur vannijs n spuit.
Hij vertelde haar maar niet bij dat de dierenarts haar had gezegd: Als het knijp de nog leven du.;Hai vertelde der mor nait bie dat veearts zegd haar:” As t knien den nog leven dut”.
Maar Zwartje zat de vorige dag nog rechtop in zijn hokje en Gezienus daar 's avonds weer met hen.;Mor Swartje zat aanderdoags nog rechtop ien zien hokje en Gezienus der soavends weer mit hìn.
de jongen moest vanzelf naar de voetbaltraining, dus hij kon niet meedoen.;t Jong mos vanzulf noar voetbaltrainen, dus dij kon nait mit.
Gezien had ik wel een beetje steviger doos opgezocht deze keer, maar de herder was die avond niet in de wachtkamer.;Gezienus haar wel n wat steveger deus opzöcht dit moal, mor herder was dij oavend nait ien wachtkoamer.
Twee katten wel weer en die waren nu tamelijk rustig.;Twij katten wel weer en dij waren nou toamelk trankiel.
De gordijnen hingen weer recht.;Gerdientjes hingen weer recht.
het knie kreeg vannieuw een spuit en de dierenarts zei dat hij het nu wel zou redden maar dat hij over twee dagen nog een laatste spuit moest hebben.;t Knien kreeg vannijs n spuit en veearts zee dat e t nou wel redden zol mor dat e over twij doagen nog n leste spuit hebben mos.
Het zwartje klunde alles wat op en na drie dagen haalde het Gezienus de laatste spuit.;Swartje klunderde aal wat op en noa drij doagen het Gezienus leste spuit hoald.
Hij had ondertussen al wel gehoord dat het dure sproeven waren - die twee tientjes per stuk - die veearts ziek dier gaf en na de laatste sproeven vroegag;Hai haar ientussen al wel heurd dat t dure spuiten waren - wel twij tientjes t stuk- dij veearts zaike daaier gaf en noa leste spuit vroug
Uw 14e dierenartsen deden ook iets nauwelijks hoe groot of schade was.;Ge 14 zienus veearts den ook wat benaauwd hou groot òf schoade was.
Hij keek;Hai keek
Hij keek aan en zei:;Gezienus aan en zee: “
Het zwartje was er een poosje later weer helemaal bovenop en was door goudenkop spuiten toch zo immuun geworden voor alle ziekten dat hij, zonde en wel waarschijnlijk zestien jaar oud geworden is.;Swartje was der n zetje loater weer haildaal bovenop en was deur goudkope spuiten toch zo immuun worden veur ale zaikten dat e, zond en wel sikkom zestien joar old worden is.
Gezien het het er dus nog jaren aan had gewerkt, maar zo wijs vond hij dat nu ook weer niet.;Gezienus het der dus nog joaren waark aan had, mor zo slim von e dat nou ook weer nait.
Eigenlijk deed hij het oude baastje, dat hij toen heeft begraven, kort nadat hij het al zoveel jaar verzorgde.;Aiglieks dee hai t ol baistje, dij e ien toen begroaven het, slim missen noadat e t zoveul joaren verzörgd haar.
De zoon is nu getrouwd en heeft zelf een zoon.;Zeun is nou traauwd en het zulf n zeuntje.
Hij heeft opa al gevraagd of hij het konijnenhok en ren nog heeft......;Hai het opa al vroagd of e t knienehok en ren nog het......
Molen 27-08-09;Molen 27-08-09
Novemberdag;Novemberdag
Rambo's streken langslopen: os onze korten wij hebben lange, dode stronkjes krijg je de snoeisel er maar bij;Frambozestroeken lonken: “mos ons körtwieken wie hemmen laange, dode stronken krieg snuischeer der mor bie”
Iets zonnetjes en droog weer het werk goud deze keer groene afvalbak draagt vol van mijn hoofd heeft een kleur als een bol hemd plakt van zweet op de rug het is tijd voor een schip met een brug;Beetje zun en dreug weer t aarbaidt goud dizze keer gruine òfvalbak rakt vol mien kop het n kleur as n ból hemd plakt van swait op rug t is tied veur n schaft mit n brug
Streken staan er nu knap bij een hele mooie putje voor mij op deze laatste dag in november;Stroeken stoan der nou knap bie n aibels schier putje veur mie op dizze leste dag ien november
Nieuw-Zeeland;Nijlaand
Frida (2) werkt de nachtdienst bij de politie in Stad.;Frida (2) Nachtdainst bie de plietsie in Stad.
Jeert had daar altijd een dubbele keuze bij.;Geert har doar altied n dubbel gevuil bie.
Aan één kant vond hij de nachtkast wel mooi.;Aan ain kaande von e nachtdainst wel mooi.
Er gebeurde bijna altijd wel iets bijzonders.;Der gebeurde hoast altied wel wat bezunders.
En vannacht was er geen dou en geen chef keek hij maar op zijn vingers.;En snachts was der gain gedou en gain chefs dai hum op zien vingers keken.
Geen dak op het huis zo als Geert dat noemde.;‘Gain dak op t hoes’ zo as Geert dat nuimde.
Maar aan de andere kanten waren er natuurlijk ook nadelen.;Mor aan d’aandere kaande warren der netuurlek ook noadailen.
Na een paar nachtdagen was hij er meestal helemaal doorheen.;Noa n poar nachtdainsten was e der mainsttied hailemoal deur hèn.
Hij had zijn vrije dagen dan hard nodig om er eventjes weer een beetje bovenop te komen.;Hai har zien vrije doagen dan haard neudeg um der liggoamelk weer n beetje bovenop te kommen.
Hij had weer dienst met Frida.;Hai har weer dainst mit Frida.
Hij kon het goed met haar vinden en had er de oordelen aan om haar wat praktijkervoorwaarden bij te dragen.;Hai kon t goud mit heur vinden en har der oardighaid aan um heur wat praktiekervoaren bie te brengen.
En met Frida kon hij vreselijk lachen.;En mit Frida kon e vrezelk lagen.
Ook niet onbelangrijk.;Ook nait unbelangriek.
Het was een bijzonder rustige nacht.;t Was n biezunder rustege nacht.
Om een uur of vier reden ze op de ringweg van Stad.;Um n uur of vaaier reden ze op de ringweg van Stad.
Ga achter het stuur.;Geert achter t stuur.
Er kwam een oud Toyota op de weg rijden.;Der kwam n ol Toyotaatje de weg op rieden.
Het zou me verbazen als hij niet was gestolen, zei Geert.;‘t Zol mie verboazen as dai nait stolen was’ zee Geert.
"""Hoe kom je daar bij?"" reageerde Frida.";‘Hou komst doar bie?’ reageerde Frida.
O nee, dat voel ik gewoon.;‘Non, dat vuil k gewoon.
Vraag het maar ais aan de mediakamer.;Vroag t mor ais aan de meldkoamer.’
Inderdaad, de auto was twee dagen geleden gestolen bij de;Inderdoad, de auto was twij doagen leden stolen aan de
Eikenloon.;Eikenloane.
Frida keek met bewondering naar Deer.;Frida keek Geert vol bewondering aan.
Hoe kan dat non, die je zowat aanboelde? Misschien is dat ervaren.;‘Hou kan dat non, das doe zowat aanvuilst?’ ‘Meschain is dat ervoaren.
Dat krijg je ook nog wel.;Dat krigst doe ook nog wel’.
Frida kon het maar nauwelijks geloven.;Frida kon t mor amper leuven.
Een ogenblik leek het alsof de mensen in de Toyota daar de deur uit zouden gaan.;Even leek t of de lu in de Toyota der vandeur goan zollen.
De chauffeur ging in veel sneller rijden en schoot een afrit af.;Chauffeur gung inain veul haarder rieden en schoot n ofrit of.
De duif bleef er, in zijn veel snellere auto, makkelijk achter rijden.;Geert bleef der, in zien veul snellere auto, makkelk achter rieden.
Dat haren ze in de gaten;Dat harren ze in de
Toyota schijnt ook in de gaten te zitten, want dou;Toyota bliekboar ook in de goaten, want dou
Frida zette het bord aan, zij bleven weg staan.;Frida t stopbord aan zedde, bleven ze vot stoan.
Twee jonge knopen.;Twij jonge knuppels.
Toen Frida naar de papieren vroeg, kwam het hoge woord er al snel uit.;Dou Frida noar de pepieren vruig, kwam t hoge woord der al gaauw oet.
Papieren hadden ze niet en chauffeur had geen rijbewijs.;Pepieren harren ze nait en chauffeur har gain riebewies.
Ze hadden de auto gebruikt om er een beetje in te rondrijden.;Zie harren de auto votnomen um der n beetje in rond te toeren.
Op de laatste dag brachten ze de auto wel 15 keer terug.;Op t lèste harren ze de auto wel 15 weer trugge brocht.
Dat wilden Geert en Frida wel geloven.;Dat wollen Geert en Frida wel leuven.
Maar de jongens werden wel in de boeien geslagen, naar berouw gebracht en in de cel gebracht.;Mor de jongens wörren wel in de boeien sloagen, noar t bereau brocht en in de cel zet.
Toen ze een uur later het bruikbare papieren werk had gedaan, zei ze;Dou ze n uurtje loater t gebroekelke pepierwaark doan harren, zee
Geert: Help me te onthouden;Geert: ‘Help mie ontholden
Frida, laat ik even dit briefje bij mijn schoonouders in de kofferbak gooien.;Frida, dat k dammeet even dit braifke bie mien schoonolders in de buzze gooi’.
Ze keek hum vroeger aan.;Ze keek hum vroagend aan.
Lees maar, zeg Geertje, en huil haar het briefje voor.;‘Lees mor’ zee Geert en huil heur t braifke veur.
"Frida las hardop: ""Ik heb uw auto weer gevonden.";Frida las haardop: ‘Ik heb joen auto weer vonnen.
Ik kom vanmiddag wel even langs.;Ik kom vannommerdag wel even langs.
Geert.;Geert’.
De meer tegen zijn hoofd zag hij niet aankomen.;De flere tegen zien kop zag e nait aankommen.
Christy...;Christy...
een meisje met een pit!;n Wichtje mit pit!
We gaan terug naar de negentienvijftig... Vijftig jaar geleden, waar blijft de tijd!;Wie goan trogge noar negenenviefteg....Viefteg joar leden, woar blift de tied!
Ons bedrijf, een drukkerij, was net verhuisd naar Meulnstrasse.;Ons bedrief, n drokkerij, was net verploatst noar Meulnstroate.
Onze vader had een beste slag gemaakt door het bedrijfspand met woning uit 1741!) te ruilen voor een gereformeerde kerk met jeugdgebouw.;Ons voar haar n beste slag moakt deur t bedriefspand’ mit woonderij oet 1741(!) te roilen veur gereformeerde kerke mit jeugdgebouw.
Wat een roemte!;Wat n roemte!
En wat een licht!;En wat n licht!
Van 60 vierkante meter naar zo'n 150!;Van 60 vaarkante meter noar zo n 150!
In het oude pand stond er geen rug om te keren, nu mozen we snel op de fiets van daar naar de andere machine.;In t olle pand gain stee om kont te keren, nou mos wie hoast op fietse van d’ain noar d’aander mesjien.
's Morns geen hozen meer...;s Mörns nait meer hozen.....
zo lag in het oude pand dat zo'n dertig centimeter onder het straatapje lag en was het grondwater beroemd geworden.;zoas in t olle pand dij zo n datteg centimeter onder t stroatpail lag en woaras t grondwotter roem boan haar.
"Het enige nadeel in het nieuwe pand was de hele schoolgevallen......of beter gezegd; de afvoer ervan.";"t Ainegste noadail in t nije pand was d’olle schoulkaggel......of beter zegd; de ofvoer dervan."
De pieken luiden na zo'n drie meter hoog met een knijp overwaarts naar de zolmmuur uit.;Piepen luipen noa zo n drij meter omhoog mit n knik overdwaars tou ziedmure oet.
